INFO  - 2017-10-25 09:42:46.910; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-10-25 09:42:46.933; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/nsparks/solr-4.10.4/example/contexts at interval 0
INFO  - 2017-10-25 09:42:46.943; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/nsparks/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2017-10-25 09:42:46.975; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/nsparks/solr-4.10.4/example/webapps/solr.war!/ to /home/nsparks/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2017-10-25 09:42:47.895; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-10-25 09:42:47.950; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-10-25 09:42:47.966; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-10-25 09:42:47.967; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2017-10-25 09:42:47.967; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2017-10-25 09:42:48.090; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/nsparks/solr-4.10.4/example/solr/solr.xml
INFO  - 2017-10-25 09:42:48.201; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/nsparks/solr-4.10.4/example/solr
INFO  - 2017-10-25 09:42:48.207; org.apache.solr.core.CoreContainer; New CoreContainer 1944201789
INFO  - 2017-10-25 09:42:48.207; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2017-10-25 09:42:48.215; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-10-25 09:42:48.215; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-10-25 09:42:48.218; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-10-25 09:42:48.219; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-10-25 09:42:48.219; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-10-25 09:42:48.220; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-10-25 09:42:48.220; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-10-25 09:42:48.220; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-10-25 09:42:48.220; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-10-25 09:42:48.220; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2017-10-25 09:42:48.347; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2017-10-25 09:42:48.348; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-10-25 09:42:48.349; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-10-25 09:42:48.350; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-10-25 09:42:48.375; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/nsparks/solr-4.10.4/example/solr
INFO  - 2017-10-25 09:42:48.381; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/nsparks/solr-4.10.4/example/solr/collection1/
INFO  - 2017-10-25 09:42:48.381; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2017-10-25 09:42:48.383; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/nsparks/solr-4.10.4/example/solr/collection1/'
INFO  - 2017-10-25 09:42:48.431; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-10-25 09:42:48.432; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-10-25 09:42:48.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-10-25 09:42:48.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-10-25 09:42:48.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-10-25 09:42:48.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2017-10-25 09:42:48.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2017-10-25 09:42:48.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-10-25 09:42:48.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-10-25 09:42:48.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-10-25 09:42:48.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2017-10-25 09:42:48.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2017-10-25 09:42:48.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2017-10-25 09:42:48.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-10-25 09:42:48.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2017-10-25 09:42:48.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2017-10-25 09:42:48.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/nsparks/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
